species_key,species_cd_ref,species_label,binomial,genus,famille,total_abundance,n_rows,in_taxref_by_cdref,in_mainland_kept_status,taxref_mainland_label,taxref_direct_fr_status,taxref_nom_valide
cdref:216346,216346,Arrhopalites caecus,Arrhopalites caecus,Arrhopalites,Arrhopalitidae,10,5,TRUE,TRUE,Arrhopalites caecus,P,Arrhopalites caecus
cdref:216361,216361,Bourletiella arvalis,Bourletiella arvalis,Bourletiella,Bourletiellidae,12,7,TRUE,TRUE,Bourletiella arvalis,P,Bourletiella arvalis
name_fallback:Bourletiella hortensis,NA,Bourletiella hortensis,Bourletiella hortensis,Bourletiella,Bourletiellidae,5,2,FALSE,FALSE,NA,NA,NA
cdref:215873,215873,Brachystomella parvula,Brachystomella parvula,Brachystomella,Brachystomellidae,11,7,TRUE,TRUE,Brachystomella parvula,P,Brachystomella parvula
cdref:215800,215800,Ceratophysella bengtssoni,Ceratophysella bengtssoni,Ceratophysella,Hypogastruridae,16,7,TRUE,TRUE,Ceratophysella bengtssoni,P,Ceratophysella bengtssoni
cdref:215802,215802,Ceratophysella denticulata,Ceratophysella denticulata,Ceratophysella,Hypogastruridae,18,7,TRUE,TRUE,Ceratophysella denticulata,P,Ceratophysella denticulata
name_fallback:Ceratophysella gibbosa,NA,Ceratophysella gibbosa,Ceratophysella gibbosa,Ceratophysella,Hypogastruridae,47,7,FALSE,FALSE,NA,NA,NA
cdref:216313,216313,Cyphoderus bidenticulatus,Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,1,1,TRUE,TRUE,Cyphoderus bidenticulatus,P,Cyphoderus bidenticulatus
cdref:216387,216387,Dicyrtomina minuta,Dicyrtomina minuta,Dicyrtomina,Dicyrtomidae,1,1,TRUE,TRUE,Dicyrtomina minuta,P,Dicyrtomina minuta
cdref:216302,216302,Entomobrya lanuginosa,Entomobrya lanuginosa,Entomobrya,Entomobryidae,60,12,TRUE,TRUE,Entomobrya lanuginosa,P,Entomobrya lanuginosa
cdref:28893,28893,Folsomia candida,Folsomia candida,Folsomia,Isotomidae,38,4,TRUE,TRUE,Folsomia candida,P,Folsomia candida
cdref:216107,216107,Folsomia quadrioculata,Folsomia quadrioculata,Folsomia,Isotomidae,145,36,TRUE,TRUE,Folsomia quadrioculata,P,Folsomia quadrioculata
name_fallback:Folsomides parvulus,NA,Folsomides parvulus,Folsomides parvulus,Folsomides,Isotomidae,21,10,FALSE,FALSE,NA,NA,NA
cdref:215945,215945,Friesea truncata,Friesea truncata,Friesea,Neanuridae,15,13,TRUE,TRUE,Friesea truncata,P,Friesea truncata
name_fallback:Hemisotoma thermophila,NA,Hemisotoma thermophila,Hemisotoma thermophila,Hemisotoma,Isotomidae,179,17,FALSE,FALSE,NA,NA,NA
cdref:216289,216289,Heteromurus major,Heteromurus major,Heteromurus,Entomobryidae,135,15,TRUE,TRUE,Heteromurus major,P,Heteromurus major
cdref:216290,216290,Heteromurus nitidus,Heteromurus nitidus,Heteromurus,Entomobryidae,11,8,TRUE,TRUE,Heteromurus nitidus,P,Heteromurus nitidus
cdref:215819,215819,Hypogastrura manubrialis,Hypogastrura manubrialis,Hypogastrura,Hypogastruridae,4,3,TRUE,TRUE,Hypogastrura manubrialis,P,Hypogastrura manubrialis
cdref:215824,215824,Hypogastrura vernalis,Hypogastrura vernalis,Hypogastrura,Hypogastruridae,59,10,TRUE,TRUE,Hypogastrura vernalis,P,Hypogastrura vernalis
cdref:28898,28898,Isotoma viridis,Isotoma viridis,Isotoma,Isotomidae,106,29,TRUE,TRUE,Isotoma viridis,P,Isotoma viridis
cdref:216125,216125,Isotomiella minor,Isotomiella minor,Isotomiella,Isotomidae,167,52,TRUE,TRUE,Isotomiella minor,P,Isotomiella minor
cdref:216130,216130,Isotomodes productus,Isotomodes productus,Isotomodes,Isotomidae,1,1,TRUE,TRUE,Isotomodes productus,P,Isotomodes productus
cdref:215889,215889,Lathriopyga longiseta,Lathriopyga longiseta,Lathriopyga,Neanuridae,12,6,TRUE,TRUE,Lathriopyga longiseta,P,Lathriopyga longiseta
cdref:216269,216269,Lepidocyrtus cyaneus,Lepidocyrtus cyaneus,Lepidocyrtus,Entomobryidae,19,10,TRUE,TRUE,Lepidocyrtus cyaneus,P,Lepidocyrtus cyaneus
cdref:216271,216271,Lepidocyrtus lanuginosus,Lepidocyrtus lanuginosus,Lepidocyrtus,Entomobryidae,97,35,TRUE,TRUE,Lepidocyrtus lanuginosus,P,Lepidocyrtus lanuginosus
cdref:28902,28902,Lepidocyrtus lignorum,Lepidocyrtus lignorum,Lepidocyrtus,Entomobryidae,5,2,TRUE,TRUE,Lepidocyrtus lignorum,P,Lepidocyrtus lignorum
